Month,Product Name,Category,Region,Units Sold,RFQs Received,Quotes Sent
2022-04,Stainless Steel Pipes,Pipes & Tubes,UAE,187,13,13
2022-05,Stainless Steel Pipes,Pipes & Tubes,UAE,130,11,8
2022-06,Stainless Steel Pipes,Pipes & Tubes,UAE,135,8,13
2022-07,Stainless Steel Pipes,Pipes & Tubes,UAE,191,7,7
2022-08,Stainless Steel Pipes,Pipes & Tubes,UAE,145,15,11
2022-09,Stainless Steel Pipes,Pipes & Tubes,UAE,172,19,13
2022-10,Stainless Steel Pipes,Pipes & Tubes,UAE,175,18,6
2022-11,Stainless Steel Pipes,Pipes & Tubes,UAE,180,10,11
2022-12,Stainless Steel Pipes,Pipes & Tubes,UAE,146,9,6
2020-01,Butterfly Valves,Valves & Fittings,KSA,126,19,9
2020-02,Butterfly Valves,Valves & Fittings,KSA,46,4,10
2020-03,Butterfly Valves,Valves & Fittings,KSA,136,14,6
2020-04,Butterfly Valves,Valves & Fittings,KSA,134,15,11
2020-05,Butterfly Valves,Valves & Fittings,KSA,99,13,11
2020-06,Butterfly Valves,Valves & Fittings,KSA,135,14,12
2020-07,Butterfly Valves,Valves & Fittings,KSA,148,15,16
2020-08,Butterfly Valves,Valves & Fittings,KSA,156,11,10
2020-09,Butterfly Valves,Valves & Fittings,KSA,159,12,9
2020-10,Butterfly Valves,Valves & Fittings,KSA,109,12,12
2020-11,Butterfly Valves,Valves & Fittings,KSA,147,20,19
2020-12,Butterfly Valves,Valves & Fittings,KSA,161,18,7
2021-01,Butterfly Valves,Valves & Fittings,KSA,140,15,10
2021-02,Butterfly Valves,Valves & Fittings,KSA,155,15,9
2021-03,Butterfly Valves,Valves & Fittings,KSA,161,20,8
2021-04,Butterfly Valves,Valves & Fittings,KSA,125,12,0
2021-05,Butterfly Valves,Valves & Fittings,KSA,144,15,18
2021-06,Butterfly Valves,Valves & Fittings,KSA,158,17,12
2021-07,Butterfly Valves,Valves & Fittings,KSA,140,10,8
2021-08,Butterfly Valves,Valves & Fittings,KSA,152,15,13
2021-09,Butterfly Valves,Valves & Fittings,KSA,192,19,10
2021-10,Butterfly Valves,Valves & Fittings,KSA,131,23,9
2021-11,Butterfly Valves,Valves & Fittings,KSA,143,12,13
2021-12,Butterfly Valves,Valves & Fittings,KSA,120,9,9
2022-01,Butterfly Valves,Valves & Fittings,KSA,146,16,7
2022-02,Butterfly Valves,Valves & Fittings,KSA,135,9,9
2022-03,Butterfly Valves,Valves & Fittings,KSA,155,12,4
2022-04,Butterfly Valves,Valves & Fittings,KSA,170,19,9
2022-05,Butterfly Valves,Valves & Fittings,KSA,123,11,10
2022-06,Butterfly Valves,Valves & Fittings,KSA,130,14,12
2022-07,Butterfly Valves,Valves & Fittings,KSA,153,13,13
2022-08,Butterfly Valves,Valves & Fittings,KSA,136,17,8
2022-09,Butterfly Valves,Valves & Fittings,KSA,131,15,9
2022-10,Butterfly Valves,Valves & Fittings,KSA,146,19,10
2022-11,Butterfly Valves,Valves & Fittings,KSA,138,19,8
2022-12,Butterfly Valves,Valves & Fittings,KSA,137,15,9
2023-01,Butterfly Valves,Valves & Fittings,KSA,125,11,6
2023-02,Butterfly Valves,Valves & Fittings,KSA,194,8,13
2023-03,Butterfly Valves,Valves & Fittings,KSA,142,16,8
2023-04,Butterfly Valves,Valves & Fittings,KSA,164,12,7
2023-05,Butterfly Valves,Valves & Fittings,KSA,128,13,13
2023-06,Butterfly Valves,Valves & Fittings,KSA,161,16,13
2023-07,Butterfly Valves,Valves & Fittings,KSA,108,20,14
2023-08,Butterfly Valves,Valves & Fittings,KSA,161,9,8
2023-09,Butterfly Valves,Valves & Fittings,KSA,173,22,10
2023-10,Butterfly Valves,Valves & Fittings,KSA,104,17,8
2023-11,Butterfly Valves,Valves & Fittings,KSA,137,23,8
2023-12,Butterfly Valves,Valves & Fittings,KSA,144,16,9
2024-01,Butterfly Valves,Valves & Fittings,KSA,89,4,10
2024-02,Butterfly Valves,Valves & Fittings,KSA,145,12,8
2024-03,Butterfly Valves,Valves & Fittings,KSA,146,22,10
2024-04,Butterfly Valves,Valves & Fittings,KSA,131,12,5
2024-05,Butterfly Valves,Valves & Fittings,KSA,127,15,12
2024-06,Butterfly Valves,Valves & Fittings,KSA,92,18,9
2024-07,Butterfly Valves,Valves & Fittings,KSA,205,11,8
2024-08,Butterfly Valves,Valves & Fittings,KSA,167,20,9
2024-09,Butterfly Valves,Valves & Fittings,KSA,136,16,6
2024-10,Butterfly Valves,Valves & Fittings,KSA,165,18,7
2024-11,Butterfly Valves,Valves & Fittings,KSA,180,21,14
2024-12,Butterfly Valves,Valves & Fittings,KSA,116,15,5
2020-01,HDPE Pipes,Pipes & Tubes,Oman,130,8,16
2020-02,HDPE Pipes,Pipes & Tubes,Oman,152,14,12
2020-03,HDPE Pipes,Pipes & Tubes,Oman,120,18,10
2020-04,HDPE Pipes,Pipes & Tubes,Oman,133,16,8
2020-05,HDPE Pipes,Pipes & Tubes,Oman,136,15,12
2020-06,HDPE Pipes,Pipes & Tubes,Oman,203,13,11
2020-07,HDPE Pipes,Pipes & Tubes,Oman,181,12,13
2020-08,HDPE Pipes,Pipes & Tubes,Oman,129,15,11
2020-09,HDPE Pipes,Pipes & Tubes,Oman,139,12,9
2020-10,HDPE Pipes,Pipes & Tubes,Oman,137,11,8
2020-11,HDPE Pipes,Pipes & Tubes,Oman,114,10,14
2020-12,HDPE Pipes,Pipes & Tubes,Oman,153,13,11
2021-01,HDPE Pipes,Pipes & Tubes,Oman,113,8,6
2021-02,HDPE Pipes,Pipes & Tubes,Oman,155,15,14
2021-03,HDPE Pipes,Pipes & Tubes,Oman,188,14,11
2021-04,HDPE Pipes,Pipes & Tubes,Oman,150,12,10
2021-05,HDPE Pipes,Pipes & Tubes,Oman,177,15,12
2021-06,HDPE Pipes,Pipes & Tubes,Oman,174,19,12
2021-07,HDPE Pipes,Pipes & Tubes,Oman,201,12,14
2021-08,HDPE Pipes,Pipes & Tubes,Oman,150,22,6
2021-09,HDPE Pipes,Pipes & Tubes,Oman,160,17,12
2021-10,HDPE Pipes,Pipes & Tubes,Oman,131,7,10
2021-11,HDPE Pipes,Pipes & Tubes,Oman,129,7,13
2021-12,HDPE Pipes,Pipes & Tubes,Oman,120,12,10
2022-01,HDPE Pipes,Pipes & Tubes,Oman,140,13,12
2022-02,HDPE Pipes,Pipes & Tubes,Oman,145,17,11
2022-03,HDPE Pipes,Pipes & Tubes,Oman,155,15,10
2022-04,HDPE Pipes,Pipes & Tubes,Oman,211,15,8
2022-05,HDPE Pipes,Pipes & Tubes,Oman,173,19,13
2022-06,HDPE Pipes,Pipes & Tubes,Oman,114,14,10
2022-07,HDPE Pipes,Pipes & Tubes,Oman,196,20,10
2022-08,HDPE Pipes,Pipes & Tubes,Oman,120,16,6
2022-09,HDPE Pipes,Pipes & Tubes,Oman,151,16,7
2022-10,HDPE Pipes,Pipes & Tubes,Oman,124,23,10
2022-11,HDPE Pipes,Pipes & Tubes,Oman,159,19,14
2022-12,HDPE Pipes,Pipes & Tubes,Oman,139,19,15
2023-01,HDPE Pipes,Pipes & Tubes,Oman,156,16,7
2023-02,HDPE Pipes,Pipes & Tubes,Oman,159,10,11
2023-03,HDPE Pipes,Pipes & Tubes,Oman,131,15,12
2023-04,HDPE Pipes,Pipes & Tubes,Oman,166,12,14
2023-05,HDPE Pipes,Pipes & Tubes,Oman,166,15,12
2023-06,HDPE Pipes,Pipes & Tubes,Oman,131,16,12
2023-07,HDPE Pipes,Pipes & Tubes,Oman,140,14,4
2023-08,HDPE Pipes,Pipes & Tubes,Oman,137,16,8
2023-09,HDPE Pipes,Pipes & Tubes,Oman,168,13,10
2023-10,HDPE Pipes,Pipes & Tubes,Oman,108,13,10
2023-11,HDPE Pipes,Pipes & Tubes,Oman,141,9,9
2023-12,HDPE Pipes,Pipes & Tubes,Oman,193,19,12
2024-01,HDPE Pipes,Pipes & Tubes,Oman,144,16,7
2024-02,HDPE Pipes,Pipes & Tubes,Oman,173,12,10
2024-03,HDPE Pipes,Pipes & Tubes,Oman,154,12,4
2024-04,HDPE Pipes,Pipes & Tubes,Oman,156,9,4
2024-05,HDPE Pipes,Pipes & Tubes,Oman,166,9,8
2024-06,HDPE Pipes,Pipes & Tubes,Oman,140,10,9
2024-07,HDPE Pipes,Pipes & Tubes,Oman,142,6,16
2024-08,HDPE Pipes,Pipes & Tubes,Oman,156,13,10
2024-09,HDPE Pipes,Pipes & Tubes,Oman,134,7,6
2024-10,HDPE Pipes,Pipes & Tubes,Oman,153,17,7
2024-11,HDPE Pipes,Pipes & Tubes,Oman,158,14,7
2024-12,HDPE Pipes,Pipes & Tubes,Oman,127,21,11
